,frame_number,pedestrian_ID,pos_x,pos_y,v_x,v_y,Constant_speed,Speed_as_magnitude,euclidean_distance_1_destination,euclidean_distance_2_destination,euclidean_distance_3_destination,euclidean_distance_4_destination,euclidean_distance_with_obstacles,euclidean_distance_neighbor,euclidean_distance_neighbor_group
0,780.0,1.0,8.46,3.59,1.6717144,0.17629183,12,9,28.547123225622236,15.453888557897152,17.14392014120922,6.938212251103675,5.90514403526717,0.0,100.0
1,810.0,1.0,11.73,4.32,1.644127,0.54439117,19,12,31.76897373958945,18.80964421486184,19.78321209986013,3.59776977271265,2.549283168177926,0.0,100.0
2,810.0,2.0,12.09,5.75,-1.5890517,-0.065971055,16,13,32.087940662651185,19.524407531336216,19.620512728491644,3.025125700589283,2.218884541723835,0.0,0.0
3,840.0,2.0,9.57,6.24,-1.207725,0.11543663,8,11,29.573746928257197,17.299866157413465,17.08116120253988,5.576443803359815,4.652294824590304,0.0,2.4235229620439447
4,840.0,3.0,11.94,6.77,-1.0282507,0.30748215,13,13,31.94928017035081,19.701187693887423,19.182262134254906,3.3905765390753944,2.3217479533481566,0.0,2.4235229620439447
5,870.0,2.0,7.17,6.62,-1.1264929,0.11639996,1,9,27.17771595479339,15.23737256919574,14.69277339768532,8.009277851918387,7.059606178080106,9.549611987716691,1.1515766264498637
6,870.0,3.0,9.36,6.85,-1.1194272,-0.080308213,6,11,29.37331615027341,17.330350428590265,16.6837799785474,5.89256865835628,4.890355817494941,9.549611987716691,1.1515766264498637
7,870.0,4.0,0.76,5.0,1.5928686,-0.10901602,11,5,20.776350113828567,8.850328123170918,10.034430231869592,14.35984364266761,5.803766555349666,9.549611987716691,0.7875422168221898
8,870.0,5.0,0.6,4.23,1.602723,-0.094307912,9,4,20.659707323388023,8.303614168858706,10.464608123075868,14.57345702200895,5.017965924736214,9.549611987716691,0.0
9,870.0,6.0,10.0,5.89,-1.3445754,0.11811796,10,11,29.99820191876269,17.582851889303168,17.597992600952782,5.119577551494319,4.249236807679351,9.549611987716691,1.1515766264498637
10,900.0,2.0,5.24,6.98,-0.72783342,0.15030687,4,8,25.26455513711428,13.703313724939637,12.766470466648444,9.96882509605509,8.20166520996255,4.268112554737972,0.8143179160486769
11,900.0,3.0,6.96,6.84,-1.0711806,0.22093364,0,9,26.98051386920871,15.149772847131931,14.424213887759995,8.242798202380113,7.274882419941228,4.268112554737972,0.8143179160486769
12,900.0,4.0,3.8,4.77,1.6486539,-0.10587078,2,6,23.82169379297399,11.400922478723194,12.553778458772756,11.338719984955782,7.057237853363303,4.268112554737972,0.7498894049674331
13,900.0,5.0,3.7,4.02,1.4881992,0.022220011,0,5,23.77021284911116,11.024109205641004,12.911403093157732,11.51179078719668,6.442128482371308,4.268112554737972,0.0
